seal_id,group_id,date_,day_of_yr,year,ET_ID,ET_X,ET_Y,site,PupClass
3811,600,06-22-2004,174,2004,3810,795449.4819,1196484.364,DB,n
3812,601,06-22-2004,174,2004,3811,795544.5203,1197828.254,DB,n
3813,601,06-22-2004,174,2004,3812,795544.0421,1197828.034,DB,y
3814,602,06-22-2004,174,2004,3813,795538.6117,1198146.52,DB,n
3815,604,06-22-2004,174,2004,3814,795107.6808,1197242.84,DB,n
3816,604,06-22-2004,174,2004,3815,795107.7119,1197243.296,DB,y
3817,146,06-22-2004,174,2004,3816,795515.3452,1197654.378,DB,n
3818,210,06-22-2004,174,2004,3817,795915.9482,1196489.237,DB,y
3819,210,06-22-2004,174,2004,3818,795917.2034,1196487.771,DB,n
3820,210,06-22-2004,174,2004,3819,795916.0953,1196488.052,DB,y
3821,227,06-22-2004,174,2004,3820,796139.466,1198837.312,DB,n
3822,277,06-22-2004,174,2004,3821,796140.0598,1198837.583,DB,n
3823,233,06-22-2004,174,2004,3822,796026.1012,1198911.798,DB,n
3824,268,06-22-2004,174,2004,3823,796266.9032,1194722.997,DB,n
3825,268,06-22-2004,174,2004,3824,796268.0328,1194722.723,DB,n
3826,283,06-22-2004,174,2004,3825,796336.8317,1195344.558,DB,n
3827,294,06-22-2004,174,2004,3826,796368.6697,1197346.639,DB,n
3828,294,06-22-2004,174,2004,3827,796368.2959,1197346.254,DB,y
3829,335,06-22-2004,174,2004,3828,796549.4977,1194404.554,DB,n
3830,358,06-22-2004,174,2004,3829,796780.2852,1196471.193,DB,y
3831,415,06-22-2004,174,2004,3830,797034.583,1194502.657,DB,n
3832,415,06-22-2004,174,2004,3831,797033.8089,1194502.172,DB,n
3833,494,06-22-2004,174,2004,3832,797555.4374,1190969.582,DB,n
3834,494,06-22-2004,174,2004,3833,797555.7168,1190970.156,DB,y
3835,591,06-22-2004,174,2004,3834,799183.8433,1197537.518,DB,n
3836,591,06-22-2004,174,2004,3835,799183.0957,1197537.234,DB,y
3837,591,06-22-2004,174,2004,3836,799183.4355,1197536.252,DB,y
